State,V_2014,V_2015,V_2016,V_2017,latitude,longitude
Alabama,0.16,0.2,0.32,0.42,32.7665024,-86.8403091
Alaska,0.21,0.31,0.55,0.83,63.1741219,-153.7042847
Arizona,0.65,0.93,1.66,2.29,34.2930794,-111.6646957
Arkansas,0.13,0.15,0.21,0.28,34.8999214,-92.4388657
California,3.25,4.68,6.65,8.64,37.2551003,-119.6175232
Colorado,0.75,1.09,1.59,2.33,38.9985428,-105.5478134
Connecticut,0.69,0.96,1.31,1.86,41.5735016,-72.7383041
Delaware,0.41,0.61,0.96,1.33,39.0081253,-75.4674683
District of Columbia,0.75,1.01,1.52,1.97,38.906189,-77.0172653
Florida,0.52,0.73,1.13,1.44,28.4925804,-82.4722214
Georgia,1.54,2.2,2.18,1.84,32.6483307,-83.4445572
Hawaii,2.15,2.94,3.8,5.12,19.5985184,-155.5185547
Idaho,0.25,0.38,0.63,0.89,44.3890343,-114.6594162
Illinois,0.52,0.67,0.92,1.24,40.1139374,-89.1587677
Indiana,0.26,0.41,0.57,0.73,39.9198036,-86.2817993
Iowa,0.3,0.38,0.51,0.67,42.0746994,-93.4999695
Kansas,0.26,0.35,0.56,0.78,38.484726,-98.3801727
Kentucky,0.16,0.21,0.32,0.43,37.5272331,-85.2876205
Louisiana,0.11,0.14,0.24,0.31,30.9665108,-91.8519058
Maine,0.52,0.66,0.91,1.31,45.3152809,-69.203949
Maryland,0.84,0.98,1.32,2.03,38.9525223,-76.7012177
Massachusetts,0.68,0.89,1.29,1.97,42.1561852,-71.5661926
Michigan,0.89,0.99,1.39,1.51,44.8626175,-85.7351379
Minnesota,0.51,0.54,0.78,1.11,46.3493576,-94.1983719
Mississippi,0.07,0.09,0.15,0.2,32.7218018,-89.6562424
Missouri,0.31,0.39,0.15,0.82,38.3679657,-92.4778824
Montana,0.35,0.37,0.47,0.61,47.0334816,-109.6450806
Nebraska,0.31,0.37,0.48,0.7,41.5272713,-99.8111038
Nevada,0.53,0.8,1.25,1.73,39.3564186,-116.6554108
New Hampshire,0.57,0.71,1.07,1.61,43.6855278,-71.5775986
New Jersey,0.67,0.88,1.25,1.67,40.1387787,-74.6769104
New Mexico,0.31,0.4,0.6,0.85,34.4213219,-106.1084061
New York,0.57,0.69,1.01,1.41,42.9370804,-75.6106949
North Carolina,0.34,0.43,0.7,0.94,35.5393562,-79.185379
North Dakota,0.12,0.15,0.32,0.39,47.4462967,-100.469429
Ohio,0.33,0.45,0.66,0.83,40.4130516,-82.7112198
Oklahoma,0.21,0.26,0.4,0.59,35.5826988,-97.5086212
Oregon,1.43,2.04,2.91,3.84,43.9388123,-120.5585861
Pennsylvania,0.36,0.49,0.71,0.97,40.8965111,-77.8387527
Rhode Island,0.4,0.54,0.77,1.14,41.4887123,-71.4543152
South Carolina,0.22,0.28,0.43,0.57,33.9038544,-80.8937683
South Dakota,0.19,0.22,0.36,0.47,44.4361496,-100.2305069
Tennessee,0.42,0.49,0.69,0.77,35.8430023,-86.3430481
Texas,0.37,0.49,0.69,0.91,31.4627552,-99.3330307
Utah,0.53,0.8,1.32,1.9,39.3237381,-111.6782379
Vermont,1.34,1.67,2.38,3.73,44.0752029,-72.6626892
Virginia,0.44,0.6,0.89,1.23,37.5127869,-78.6980972
Washington,1.74,2.32,3.04,4.06,47.4112968,-120.5562668
West Virginia,0.15,0.18,0.23,0.3,38.6424141,-80.6136169
Wisconsin,0.42,0.59,0.84,1.07,44.6417847,-89.7367401
Wyoming,0.12,0.16,0.29,0.37,42.9995766,-107.5515213
